Alpha_Fp2,Alpha_Fz,Alpha_Fp1,Alpha_F3,Alpha_F7,Alpha_C3,Alpha_T7,Alpha_P3,Alpha_Pz,Alpha_O1,Alpha_Oz,Alpha_O2,Alpha_P4,Alpha_C4,Alpha_T8,Alpha_F8,Alpha_F4,Alpha_Cz,Beta_Fp2,Beta_Fz,Beta_Fp1,Beta_F3,Beta_F7,Beta_C3,Beta_T7,Beta_P3,Beta_Pz,Beta_O1,Beta_Oz,Beta_O2,Beta_P4,Beta_C4,Beta_T8,Beta_F8,Beta_F4,Beta_Cz,Theta_Fp2,Theta_Fz,Theta_Fp1,Theta_F3,Theta_F7,Theta_C3,Theta_T7,Theta_P3,Theta_Pz,Theta_O1,Theta_Oz,Theta_O2,Theta_P4,Theta_C4,Theta_T8,Theta_F8,Theta_F4,Theta_Cz
0.024215,0.025334,0.032409,0.034089,0.03236,0.025206,0.02716,0.032523,0.066768,0.074313,0.068359,0.056368,0.042795,0.045673,0.021768,0.022954,0.028106,0.063315,0.013034,0.01147,0.028374,0.021965,0.012759,0.0051218,0.0053229,0.0051148,0.010166,0.0083443,0.0078346,0.0077362,0.0074529,0.0080825,0.0089486,0.0065476,0.012873,0.0096705,0.052865,0.062642,0.074164,0.069746,0.071496,0.042396,0.037307,0.047517,0.1332,0.084059,0.096908,0.072529,0.057626,0.066277,0.037352,0.048213,0.049935,0.13243
0.010272,0.0052442,0.038857,0.0068587,0.0090972,0.018431,0.005609,0.012296,0.021355,0.038521,0.022102,0.052265,0.01171,0.0080077,0.014249,0.011147,0.018144,0.01365,0.0036706,0.0022701,0.030273,0.0034744,0.0030871,0.0072648,0.0017476,0.003894,0.0066147,0.010835,0.0065296,0.013967,0.0038619,0.0031243,0.0061934,0.0036939,0.0070859,0.0042626,0.042508,0.015557,0.1238,0.02063,0.031532,0.058653,0.019943,0.035322,0.072831,0.12927,0.069882,0.11252,0.039772,0.024029,0.044573,0.03117,0.043586,0.039038
0.038488,0.0086778,0.025392,0.014148,0.021428,0.015591,0.011258,0.010438,0.016658,0.018522,0.019082,0.01841,0.0098387,0.012367,0.011006,0.017183,0.017544,0.0091299,0.063106,0.017375,0.034145,0.009505,0.011867,0.0030073,0.0046652,0.0022242,0.0034779,0.004186,0.0050393,0.0083391,0.0022658,0.0025116,0.0067594,0.0045537,0.022622,0.0036537,0.080919,0.023957,0.070182,0.03535,0.079239,0.039017,0.027581,0.029913,0.058125,0.065831,0.067317,0.055913,0.027154,0.025175,0.034657,0.078855,0.02902,0.022509
0.017289,0.0078369,0.013984,0.013733,0.017767,0.02125,0.017016,0.014042,0.021987,0.02437,0.025393,0.036225,0.018691,0.020872,0.018289,0.010363,0.009775,0.020152,0.042731,0.0056231,0.034979,0.0096529,0.0054612,0.0024142,0.027454,0.0020854,0.0030615,0.003587,0.0036578,0.0054741,0.0030409,0.0028784,0.007707,0.0023438,0.0037858,0.0015836,0.042961,0.025319,0.029756,0.036444,0.065318,0.036883,0.044209,0.031997,0.086065,0.069026,0.092503,0.12133,0.045803,0.034024,0.040381,0.034284,0.026321,0.032594
0.01818,0.0089812,0.011328,0.0092438,0.017512,0.010055,0.013154,0.010238,0.01598,0.02645,0.030837,0.074275,0.01368,0.0093948,0.016212,0.018239,0.018173,0.0087961,0.015807,0.0034412,0.0061101,0.0040325,0.015368,0.003472,0.0089233,0.003017,0.0035071,0.0056879,0.0056201,0.011488,0.0036645,0.0027083,0.0044689,0.019139,0.0060471,0.0019181,0.072313,0.030174,0.044376,0.027255,0.065391,0.03581,0.042377,0.037062,0.045647,0.060584,0.077263,0.24642,0.039237,0.030915,0.044081,0.056044,0.054372,0.027098
0.043798,0.005067,0.026407,0.01078,0.018944,0.030313,0.010329,0.018336,0.021384,0.025033,0.023447,0.027818,0.015415,0.017953,0.013416,0.015901,0.014993,0.03451,0.13201,0.0025114,0.063631,0.0047652,0.009105,0.0035551,0.0034385,0.0032337,0.0044832,0.0044715,0.0050088,0.004933,0.0041132,0.0048941,0.0045208,0.014631,0.0091818,0.0030428,0.08118,0.021145,0.055431,0.045371,0.081819,0.069933,0.033583,0.067089,0.087445,0.083049,0.092657,0.097344,0.054285,0.047519,0.043014,0.063402,0.050958,0.10103
0.061573,0.037677,0.066558,0.016656,0.011061,0.0034954,0.0050564,0.0055741,0.019122,0.027496,0.020394,0.031389,0.0096378,0.0078931,0.0070966,0.0088937,0.012465,0.006935,0.18066,0.042744,0.050836,0.0065765,0.004457,0.0016833,0.0027383,0.0028169,0.0057305,0.0082081,0.0060997,0.0089328,0.0036141,0.0027685,0.0032579,0.0037928,0.0054551,0.0023983,0.10977,0.098345,0.25366,0.061199,0.04772,0.013081,0.015276,0.017827,0.065544,0.091082,0.072119,0.12374,0.030805,0.027835,0.026439,0.03328,0.070452,0.02664
0.0092642,0.012351,0.0075552,0.0099715,0.013548,0.013573,0.01245,0.014011,0.026271,0.019741,0.019657,0.029475,0.020592,0.017608,0.012156,0.0082435,0.013845,0.02291,0.0036769,0.0035767,0.0050882,0.0031055,0.0039526,0.0019834,0.0090045,0.0027494,0.0038538,0.0036491,0.0033593,0.004936,0.003739,0.0026221,0.0071568,0.0023918,0.0051032,0.00191,0.028903,0.036403,0.019162,0.027292,0.049247,0.025411,0.024707,0.024917,0.10059,0.059236,0.065378,0.090409,0.048943,0.03354,0.029152,0.022749,0.029538,0.049033
0.0095463,0.011979,0.022043,0.017152,0.018387,0.02189,0.0249,0.028657,0.03326,0.037021,0.044426,0.051009,0.03853,0.012582,0.018688,0.019074,0.015367,0.016729,0.0046605,0.008326,0.025091,0.0077255,0.0081354,0.0041849,0.0077975,0.0062337,0.0046201,0.0071959,0.007485,0.010251,0.0084509,0.0051176,0.018052,0.010026,0.012197,0.0035837,0.024265,0.029401,0.044796,0.036551,0.043933,0.028574,0.04283,0.049554,0.050508,0.067341,0.075148,0.086561,0.049557,0.023611,0.039787,0.053308,0.034659,0.035898
0.022206,0.028766,0.025532,0.038281,0.028258,0.065442,0.026148,0.045591,0.051765,0.04313,0.031125,0.046032,0.061536,0.031158,0.034484,0.026597,0.030765,0.024378,0.022645,0.011337,0.017511,0.01838,0.010805,0.0075896,0.016011,0.0087634,0.0060455,0.0093782,0.0053391,0.0087081,0.008372,0.0055241,0.033676,0.0078073,0.018838,0.0040108,0.032452,0.03246,0.045326,0.043137,0.068938,0.042674,0.039772,0.039453,0.055887,0.095547,0.05626,0.098159,0.046078,0.02414,0.034711,0.061008,0.03467,0.032922
